	img1	img2	img3	img4	img5	img6	img7	img8	img9	img10	img11	img12	img13	img14	img15	img16	img17	img18	img19	img20	img21	img22	img23	img24	img25	img26	img27	img28	img29	img30	img31	img32	img33	img34	img35	img36	img37	img38	img39	img40	img41	img42	img43	img44	img45	img46	img47	img48	img49	img50	img51	img52	img53	img54	img55	img56	img57	img58	img59	img60	img61	img62	img63	img64	img65	img66	img67	img68	img69	img70	img71	img72	img73	img74	img75	img76	img77	img78	img79	img80	img81	img82	img83	img84	img85	img86	img87	img88	img89	img90	img91	img92	img93	img94	img95	img96	img97	img98	img99	img100	img101	img102	img103	img104	img105	img106	img107	img108	img109	img110	img111	img112	img113	img114	img115	img116	img117	img118	img119	img120	img121	img122	img123	img124	img125	img126	img127	img128	img129	img130	img131	img132	img133	img134	img135	img136	img137	img138	img139	img140	img141	img142	img143	img144	img145	img146	img147	img148	img149	img150	img151	img152	img153	img154	img155	img156	img157	img158	img159	img160	img161	img162	img163	img164	img165	img166	img167	img168	img169	img170	img171	img172	img173	img174	img175	img176	img177	img178	img179	img180	img181	img182	img183	img184	img185	img186	img187	img188	img189	img190	img191	img192	img193	img194	img195	img196	img197	img198	img199	img200
356	3	2.0	4.0	3.0	2.0	2.0	4.0	1.0	1.0	2.0	1.0	3.0	1.0	4.0	2.0	1.0	3.0	5.0	3.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0	1.0	2.0	5.0	4.0	3.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	3.0	1.0	5.0	1.0	4.0	2.0	4.0	3.0	2.0	1.0	5.0	4	3.0	1.0	5.0	5.0	4.0	7.0	6.0	1.0	1.0	1.0	1.0	4.0	5.0	5.0	5.0	2.0	6.0	2.0	2.0	6.0	5.0	3.0	2.0	5.0	4.0	2.0	5.0	5.0	7.0	6.0	3.0	6.0	7.0	2.0	1.0	3.0	7.0	4.0	1.0	2.0	7.0	7.0	5.0	3.0	3.0	1.0	1.0	1.0	1.0	6	5.0	6.0	1.0	1.0	5.0	4.0	2.0	5.0	3.0	3.0	4.0	7.0	1.0	5.0	4.0	3.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	3.0	3.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	2.0	5.0	3.0	5.0	4.0	2.0	2.0	5.0	1.0	5.0	2.0	4.0	3	2.0	3.0	3.0	5.0	6.0	5.0	4.0	4.0	5.0	6.0	6.0	5.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	3.0	4.0	2.0	5.0	4.0	4.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	4.0	3.0	1.0	2.0	3.0	1.0	2.0	4.0	5.0	3.0	5.0	5.0	3.0
357	3	4.0	4.0	6.0	7.0	3.0	4.0	1.0	2.0	5.0	3.0	5.0	2.0	2.0	3.0	5.0	6.0	4.0	6.0	1.0	5.0	5.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	7.0	6.0	5.0	4.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	5.0	2.0	5.0	3.0	3.0	4.0	4.0	2.0	2.0	4	4.0	5.0	5.0	6.0	2.0	4.0	5.0	4.0	2.0	2.0	2.0	4.0	7.0	6.0	6.0	3.0	5.0	2.0	2.0	4.0	2.0	4.0	2.0	6.0	4.0	4.0	7.0	7.0	5.0	6.0	2.0	5.0	6.0	3.0	3.0	2.0	6.0	4.0	3.0	6.0	7.0	7.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	4	6.0	6.0	4.0	3.0	6.0	5.0	5.0	6.0	2.0	4.0	5.0	6.0	4.0	5.0	6.0	6.0	3.0	6.0	2.0	2.0	2.0	3.0	2.0	3.0	4.0	5.0	5.0	5.0	6.0	6.0	3.0	4.0	4.0	4.0	3.0	5.0	3.0	3.0	5.0	3.0	5.0	5.0	3.0	4.0	6.0	4.0	5.0	4.0	5.0	5	3.0	3.0	5.0	5.0	6.0	5.0	4.0	3.0	6.0	7.0	2.0	4.0	6.0	4.0	6.0	3.0	6.0	4.0	7.0	7.0	6.0	4.0	6.0	6.0	7.0	7.0	7.0	7.0	6.0	4.0	4.0	4.0	3.0	6.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	6.0	6.0	6.0	6.0	5.0	7.0	7.0	4.0
358	4	3.0	5.0	4.0	4.0	4.0	5.0	2.0	2.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	6.0	5.0	3.0	6.0	5.0	5.0	5.0	3.0	4.0	4.0	3.0	3.0	6.0	6.0	5.0	5.0	3.0	5.0	3.0	4.0	2.0	3.0	5.0	5.0	5.0	3.0	6.0	5.0	6.0	5.0	6.0	4.0	5.0	5	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	6.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	6.0	5.0	6.0	5.0	4.0	6.0	5.0	4.0	5.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	5.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	5	5.0	6.0	6.0	5.0	5.0	6.0	4.0	6.0	5.0	6.0	4.0	4.0	5.0	5.0	6.0	5.0	5.0	6.0	6.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	6.0	5.0	4.0	4.0	3.0	3.0	5.0	3.0	4.0	6.0	5.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	5.0	4.0	5.0	4.0
359	4	3.0	6.0	4.0	4.0	5.0	5.0	1.0	2.0	5.0	4.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	5.0	3.0	6.0	6.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	5.0	7.0	5.0	6.0	4.0	4.0	4.0	4.0	1.0	3.0	5.0	5.0	6.0	1.0	5.0	4.0	6.0	5.0	4.0	3.0	4.0	3	2.0	1.0	4.0	7.0	5.0	6.0	6.0	4.0	2.0	1.0	1.0	3.0	4.0	4.0	4.0	2.0	7.0	2.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	6.0	4.0	2.0	3.0	4.0	3.0	3.0	1.0	3.0	2.0	1.0	2.0	7.0	6.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	3	3.0	3.0	1.0	1.0	4.0	4.0	3.0	4.0	1.0	5.0	4.0	5.0	1.0	4.0	5.0	4.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	4.0	5.0	5.0	1.0	4.0	1.0	3.0	1.0	1.0	1.0	2.0	4.0	1.0	5.0	5.0	1.0	1.0	2.0	1.0	4.0	1.0	2.0	5	3.0	3.0	6.0	5.0	4.0	4.0	5.0	3.0	4.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	6.0	5.0	4.0	2.0	3.0	4.0	4.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	1.0
360	3	2.0	2.0	6.0	6.0	6.0	6.0	2.0	3.0	5.0	3.0	6.0	5.0	7.0	6.0	7.0	7.0	5.0	7.0	3.0	6.0	7.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	3.0	3.0	3.0	3.0	4.0	3.0	5.0	3.0	3.0	2.0	4.0	3.0	3.0	5	5.0	5.0	5.0	6.0	5.0	6.0	6.0	5.0	4.0	3.0	3.0	4.0	5.0	4.0	5.0	3.0	5.0	3.0	3.0	5.0	2.0	3.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	3.0	3.0	2.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	6	6.0	6.0	3.0	3.0	4.0	6.0	7.0	7.0	3.0	7.0	7.0	6.0	2.0	5.0	6.0	6.0	2.0	6.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	5.0	2.0	2.0	2.0	2.0	4.0	4.0	2.0	3.0	5.0	5.0	5.0	3.0	5.0	5	5.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	6.0	6.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	4.0	4.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	3.0	3.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0
361	6	4.0	5.0	4.0	4.0	5.0	5.0	2.0	2.0	3.0	2.0	5.0	2.0	5.0	3.0	4.0	5.0	6.0	5.0	2.0	3.0	2.0	4.0	5.0	3.0	3.0	2.0	1.0	4.0	5.0	2.0	4.0	5.0	2.0	4.0	4.0	5.0	1.0	2.0	4.0	4.0	2.0	1.0	5.0	3.0	5.0	5.0	4.0	3.0	5.0	5	3.0	3.0	6.0	6.0	5.0	5.0	6.0	4.0	4.0	3.0	3.0	4.0	5.0	6.0	6.0	4.0	6.0	3.0	5.0	5.0	3.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	4.0	5.0	3.0	2.0	6.0	5.0	3.0	6.0	7.0	6.0	5.0	5.0	4.0	3.0	2.0	2.0	2.0	5	4.0	6.0	5.0	4.0	5.0	5.0	4.0	6.0	4.0	5.0	4.0	5.0	3.0	5.0	5.0	3.0	2.0	4.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0	4.0	5.0	5.0	6.0	2.0	1.0	1.0	2.0	3.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	2.0	3.0	3.0	2.0	4.0	2.0	2.0	5	4.0	5.0	5.0	4.0	4.0	3.0	5.0	6.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	6.0	4.0	5.0	4.0	6.0	4.0	6.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	4.0	6.0	4.0	3.0	4.0	4.0	5.0	3.0	4.0	3.0	3.0	5.0	4.0	5.0	4.0	4.0	4.0
362	4	4.0	5.0	3.0	6.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	5.0	4.0	6.0	5.0	3.0	3.0	3.0	6.0	4.0	3.0	3.0	4.0	3.0	4.0	6.0	5.0	3.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	6.0	4.0	6.0	3.0	4.0	4.0	6.0	5	5.0	4.0	6.0	7.0	6.0	6.0	6.0	4.0	3.0	2.0	3.0	6.0	5.0	4.0	6.0	4.0	6.0	3.0	3.0	5.0	3.0	4.0	3.0	6.0	4.0	4.0	5.0	6.0	7.0	6.0	4.0	5.0	7.0	3.0	3.0	3.0	6.0	6.0	3.0	4.0	6.0	6.0	6.0	5.0	3.0	3.0	3.0	6.0	2.0	3	4.0	4.0	2.0	3.0	5.0	5.0	4.0	5.0	3.0	4.0	3.0	5.0	3.0	3.0	5.0	6.0	3.0	6.0	3.0	5.0	3.0	3.0	4.0	5.0	5.0	2.0	5.0	4.0	5.0	6.0	2.0	2.0	2.0	2.0	3.0	5.0	2.0	3.0	4.0	3.0	6.0	6.0	2.0	3.0	3.0	2.0	5.0	3.0	5.0	3	3.0	3.0	5.0	5.0	5.0	5.0	4.0	6.0	3.0	2.0	2.0	3.0	6.0	4.0	5.0	6.0	5.0	2.0	6.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	5.0	2.0	3.0	4.0	3.0	4.0	2.0	3.0	5.0	6.0	3.0	2.0	2.0
363	5	4.0	5.0	5.0	5.0	4.0	4.0	3.0	3.0	4.0	5.0	5.0	3.0	4.0	5.0	4.0	6.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	4.0	4.0	3.0	4.0	5.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	2.0	6.0	3.0	4.0	3.0	4.0	3.0	2.0	4	4.0	3.0	4.0	5.0	4.0	6.0	6.0	4.0	3.0	2.0	3.0	3.0	5.0	5.0	5.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	4.0	5.0	3.0	4.0	5.0	4.0	5.0	3.0	3.0	2.0	2.0	3.0	3.0	4	4.0	5.0	2.0	3.0	4.0	3.0	3.0	5.0	3.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	2.0	4.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	4.0	5.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	4.0	2.0	3.0	4.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	5.0	3.0	3.0	5	3.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	5.0	3.0	3.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	3.0
364	2	4.0	5.0	5.0	6.0	5.0	5.0	3.0	2.0	3.0	2.0	2.0	1.0	2.0	4.0	5.0	5.0	5.0	4.0	2.0	4.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	2.0	4.0	4.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	4	4.0	4.0	4.0	5.0	5.0	6.0	6.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	3.0	3.0	3.0	5.0	5.0	5.0	4.0	3.0	2.0	2.0	2.0	2.0	5	5.0	5.0	3.0	2.0	4.0	5.0	4.0	5.0	2.0	4.0	4.0	5.0	1.0	4.0	5.0	5.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	4.0	5.0	5.0	2.0	3.0	3.0	2.0	2.0	6.0	1.0	2.0	5.0	2.0	6.0	5.0	2.0	2.0	5.0	2.0	5.0	1.0	4.0	6	3.0	2.0	4.0	4.0	5.0	4.0	2.0	4.0	4.0	4.0	3.0	4.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	5.0	4.0	3.0	4.0	5.0	3.0	3.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0
365	5	5.0	6.0	4.0	6.0	5.0	3.0	2.0	5.0	5.0	4.0	6.0	2.0	4.0	5.0	5.0	7.0	6.0	5.0	2.0	5.0	7.0	6.0	5.0	3.0	3.0	3.0	2.0	6.0	7.0	5.0	6.0	7.0	5.0	5.0	3.0	7.0	1.0	4.0	5.0	5.0	6.0	2.0	7.0	3.0	7.0	5.0	5.0	1.0	6.0	3	5.0	4.0	6.0	7.0	4.0	6.0	7.0	4.0	3.0	3.0	2.0	6.0	7.0	6.0	7.0	4.0	7.0	3.0	3.0	6.0	4.0	4.0	5.0	6.0	5.0	6.0	7.0	7.0	7.0	6.0	5.0	4.0	6.0	5.0	5.0	4.0	6.0	6.0	3.0	6.0	6.0	7.0	5.0	4.0	3.0	4.0	3.0	7.0	1.0	5	6.0	6.0	3.0	4.0	7.0	4.0	6.0	7.0	4.0	5.0	4.0	6.0	3.0	5.0	5.0	6.0	3.0	6.0	5.0	6.0	3.0	5.0	5.0	4.0	5.0	5.0	6.0	4.0	5.0	7.0	4.0	4.0	3.0	4.0	5.0	6.0	4.0	5.0	6.0	3.0	6.0	6.0	3.0	6.0	4.0	1.0	6.0	1.0	5.0	5	4.0	3.0	6.0	5.0	7.0	5.0	4.0	5.0	5.0	6.0	5.0	4.0	7.0	4.0	6.0	4.0	5.0	4.0	7.0	6.0	5.0	4.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	4.0	4.0	3.0	4.0	6.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	6.0	5.0	6.0	6.0	5.0
366	2	3.0	4.0	4.0	4.0	3.0	4.0	6.0	5.0	3.0	5.0	3.0	5.0	5.0	4.0	5.0	3.0	3.0	3.0	5.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	6.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	2.0	5.0	4.0	3.0	5.0	4.0	3.0	3.0	3	5.0	5.0	5.0	6.0	5.0	6.0	6.0	5.0	3.0	3.0	4.0	5.0	6.0	5.0	6.0	4.0	5.0	3.0	3.0	5.0	2.0	3.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	6.0	4.0	6.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0	6.0	6.0	5.0	5.0	4.0	3.0	3.0	4.0	3.0	4	5.0	6.0	3.0	3.0	5.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	2.0	4.0	5.0	4.0	6.0	4.0	4.0	5	3.0	3.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	6.0	4.0	4.0	5.0	5.0	6.0	4.0	6.0	5.0	6.0	6.0	6.0	4.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	3.0	5.0	3.0
367	4	5.0	6.0	6.0	6.0	4.0	5.0	2.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	3.0	3.0	4.0	4.0	5.0	3.0	3.0	3.0	4.0	3.0	5.0	4.0	6.0	5	4.0	4.0	5.0	6.0	6.0	6.0	6.0	5.0	4.0	4.0	4.0	5.0	6.0	6.0	6.0	5.0	6.0	5.0	5.0	6.0	4.0	5.0	4.0	5.0	6.0	5.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	5.0	5.0	4.0	6.0	6.0	4.0	4.0	6.0	6.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	6	6.0	6.0	3.0	3.0	5.0	5.0	5.0	6.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	6.0	5.0	6.0	4.0	4.0	3.0	4.0	3.0	4.0	5.0	6.0	4.0	6.0	6.0	6.0	4.0	3.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	5.0	5.0	4.0	4.0	3.0	5.0	6	6.0	5.0	5.0	5.0	6.0	6.0	5.0	6.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	4.0	4.0	4.0	6.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0
368	7	5.0	7.0	7.0	7.0	7.0	6.0	5.0	3.0	5.0	3.0	7.0	3.0	3.0	7.0	5.0	7.0	7.0	5.0	5.0	5.0	7.0	5.0	3.0	3.0	3.0	2.0	2.0	3.0	6.0	6.0	2.0	4.0	3.0	5.0	2.0	4.0	2.0	2.0	4.0	6.0	6.0	2.0	7.0	7.0	7.0	7.0	7.0	2.0	4.0	4	4.0	7.0	4.0	7.0	5.0	7.0	7.0	4.0	2.0	2.0	2.0	6.0	6.0	6.0	7.0	5.0	7.0	2.0	6.0	7.0	7.0	4.0	6.0	7.0	5.0	4.0	7.0	7.0	7.0	7.0	4.0	5.0	6.0	5.0	3.0	4.0	5.0	7.0	5.0	4.0	6.0	6.0	6.0	6.0	4.0	5.0	3.0	3.0	2.0	4	6.0	6.0	4.0	4.0	5.0	7.0	4.0	7.0	5.0	5.0	5.0	7.0	4.0	4.0	6.0	6.0	4.0	7.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	5.0	5.0	5.0	6.0	6.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	5.0	5.0	6.0	6.0	4.0	7.0	7.0	3.0	6.0	6.0	6.0	7	3.0	6.0	5.0	6.0	7.0	5.0	5.0	5.0	6.0	7.0	6.0	6.0	7.0	7.0	7.0	5.0	5.0	5.0	7.0	7.0	6.0	6.0	6.0	7.0	7.0	5.0	7.0	7.0	6.0	5.0	6.0	5.0	7.0	7.0	7.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	6.0	6.0	7.0
369	3	4.0	5.0	6.0	6.0	6.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	5.0	4.0	4.0	5.0	5.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	5.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3	3.0	3.0	3.0	6.0	5.0	7.0	7.0	3.0	3.0	2.0	2.0	4.0	6.0	7.0	7.0	4.0	6.0	3.0	4.0	7.0	5.0	4.0	4.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	4.0	6.0	7.0	3.0	4.0	3.0	7.0	5.0	3.0	3.0	7.0	7.0	6.0	5.0	5.0	4.0	3.0	6.0	3.0	5	5.0	5.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	6.0	6.0	3.0	5.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	5.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	5.0	3.0	3.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	5.0	4	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	6.0	5.0	6.0	5.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0
370	5	4.0	5.0	5.0	4.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	2.0	5.0	5.0	3.0	6.0	4.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	2.0	1.0	1.0	4.0	4.0	4.0	5.0	3.0	3.0	2.0	3.0	2.0	2.0	5.0	3.0	3.0	2.0	5.0	2.0	4.0	1.0	4.0	3.0	4.0	5	3.0	2.0	5.0	6.0	3.0	5.0	5.0	2.0	1.0	1.0	2.0	4.0	3.0	4.0	7.0	3.0	6.0	3.0	2.0	5.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	4.0	7.0	6.0	4.0	5.0	4.0	4.0	2.0	2.0	3.0	4.0	2.0	2.0	5.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	4	4.0	5.0	3.0	2.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	4.0	3.0	1.0	5.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	2.0	5.0	2.0	5.0	4.0	2.0	1.0	6.0	3.0	4.0	3.0	3.0	4	2.0	3.0	4.0	4.0	5.0	4.0	3.0	2.0	4.0	5.0	3.0	2.0	4.0	3.0	4.0	3.0	3.0	2.0	6.0	5.0	5.0	3.0	4.0	4.0	5.0	3.0	6.0	5.0	6.0	3.0	2.0	2.0	2.0	4.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0
371	3	3.0	4.0	5.0	4.0	5.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0	5.0	1.0	6.0	5.0	3.0	3.0	2.0	3.0	3.0	2.0	1.0	4.0	5.0	3.0	2.0	2.0	4.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0	4.0	3.0	2.0	2.0	3.0	2.0	4.0	4	3.0	3.0	3.0	5.0	3.0	5.0	4.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	4.0	3.0	4.0	2.0	3.0	5.0	2.0	1.0	3.0	4.0	3.0	2.0	4.0	4.0	5.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	2.0	2.0	4.0	5.0	5.0	4.0	3.0	1.0	1.0	1.0	1.0	3	4.0	4.0	1.0	1.0	2.0	3.0	3.0	4.0	1.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	5.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	4.0	5.0	2.0	4.0	4.0	1.0	4.0	1.0	4.0	5	2.0	3.0	5.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0
